Portfolio,Workstream,TaskName,TaskID,ParentID,StartDate,EndDate,PlannedStart,PlannedEnd,Progress,ProgressBase,Resource,Dependencies,Priority,Status,WBS,Milestone_Design_Signoff,Milestone_UAT_Ready,ColorField,Owner,Notes
Digital Transformation,PMO,Project kickoff,PMO-001,,2026-01-05,2026-01-05,2026-01-05,2026-01-05,100,100,PMO,,High,Complete,1.1,,,#2563EB,Emma Clarke,Zero-duration milestone row to demonstrate milestone rendering
Digital Transformation,PMO,Delivery governance setup,PMO-002,,2026-01-06,2026-01-16,2026-01-06,2026-01-14,100,100,PMO,PMO-001,High,Complete,1.2,2026-01-16,,#1D4ED8,Emma Clarke,Planned dates end earlier than actual to show variance
Digital Transformation,PMO,Steering committee cadence,PMO-003,,2026-01-12,2026-03-31,2026-01-12,2026-03-31,70,100,Leadership,PMO-001,Medium,In Progress,1.3,,2026-03-24,Leadership,Sarah Ng,Long-running governance task with milestone marker
Digital Transformation,Data Platform,Requirements workshops,DATA-001,,2026-01-13,2026-01-24,2026-01-13,2026-01-22,100,100,Business Analysts,PMO-002,High,Complete,2.1,2026-01-24,,Business Analysts,Noah Patel,Discovery complete
Digital Transformation,Data Platform,Source system mapping,DATA-002,,2026-01-27,2026-02-14,2026-01-27,2026-02-10,100,100,Data Engineering,DATA-001,High,Complete,2.2,2026-02-14,,#0EA5E9,Ava Chen,Explicit hex color example
Digital Transformation,Data Platform,Data model design,DATA-003,,2026-02-10,2026-02-28,2026-02-03,2026-02-21,90,100,Architecture,DATA-001,High,At Risk,2.3,2026-02-26,,Architecture,Liam Brown,Running late versus plan
Digital Transformation,Data Platform,Ingestion pipelines,DATA-004,,2026-02-24,2026-03-21,2026-02-17,2026-03-14,65,100,Data Engineering,DATA-002|DATA-003,High,In Progress,2.4,,2026-03-18,Engineering,Mia Jones,Parallel dependency chain example
Digital Transformation,Data Platform,Data quality rules,DATA-005,,2026-03-03,2026-03-28,2026-02-24,2026-03-21,45,100,Data Governance,DATA-002,Medium,In Progress,2.5,,2026-03-25,Governance,Oliver Smith,Demonstrates secondary workstream running in parallel
Digital Transformation,Application Layer,UX wireframes,APP-001,,2026-01-20,2026-02-07,2026-01-20,2026-02-05,100,100,Design,DATA-001,Medium,Complete,3.1,2026-02-07,,Design,Chloe Martin,Completed design phase
Digital Transformation,Application Layer,Frontend build,APP-002,,2026-02-10,2026-03-14,2026-02-10,2026-03-07,75,100,Frontend,APP-001|DATA-003,High,In Progress,3.2,,2026-03-10,Frontend,Jack Wilson,Depends on design and data model
Digital Transformation,Application Layer,API integration,APP-003,,2026-02-24,2026-03-21,2026-02-24,2026-03-18,55,100,Backend,DATA-004,High,In Progress,3.3,,2026-03-20,Backend,Grace Taylor,Shows dependency-driven critical work
Digital Transformation,Application Layer,System integration test,APP-004,,2026-03-24,2026-04-04,2026-03-17,2026-03-28,5,100,QA,APP-002|APP-003|DATA-005,High,Not Started,3.4,,2026-03-31,QA,Ethan Davis,Future task with low progress
Digital Transformation,Application Layer,UAT readiness gate,APP-005,,2026-04-06,2026-04-06,2026-04-01,2026-04-01,0,100,QA,APP-004,Critical,Not Started,3.5,,2026-04-06,#7C3AED,Sophia Lee,Single-day gate can be mapped as milestone or milestone marker
Digital Transformation,Change & Training,Training needs analysis,CHG-001,,2026-02-03,2026-02-14,2026-02-03,2026-02-12,100,100,Change,DATA-001,Medium,Complete,4.1,2026-02-14,,Change,Amelia Walker,Supports business readiness narrative
Digital Transformation,Change & Training,Training content development,CHG-002,,2026-02-17,2026-03-20,2026-02-17,2026-03-13,60,100,Change,CHG-001,Medium,In Progress,4.2,,2026-03-17,Change,Amelia Walker,Uses categorical color field value
Digital Transformation,Change & Training,Business readiness review,CHG-003,,2026-03-24,2026-03-28,2026-03-17,2026-03-21,0,100,Business Leads,CHG-002|APP-004,High,Not Started,4.3,,2026-03-28,Leadership,Lucas King,Review task aligned to UAT timing
Digital Transformation,Cutover,Cutover planning,CTV-001,,2026-03-10,2026-03-28,2026-03-03,2026-03-24,35,100,Release Management,APP-003|DATA-005,High,In Progress,5.1,,2026-03-26,Release,Harper Scott,Cross-stream coordination task
Digital Transformation,Cutover,Dress rehearsal,CTV-002,,2026-04-08,2026-04-10,2026-04-07,2026-04-09,0,100,Release Management,APP-005|CHG-003|CTV-001,Critical,Not Started,5.2,,2026-04-10,#DC2626,Harper Scott,Critical pre-go-live event
Digital Transformation,Cutover,Go-live,CTV-003,,2026-04-13,2026-04-13,2026-04-13,2026-04-13,0,100,Operations,CTV-002,Critical,Not Started,5.3,,2026-04-13,Operations,Isabella Young,Final milestone row
Digital Transformation,Support,Hypercare,OPS-001,,2026-04-14,2026-04-25,2026-04-14,2026-04-25,0,100,Operations,CTV-003,High,Not Started,6.1,,2026-04-20,Operations,Isabella Young,Post-go-live support window
Digital Transformation,Support,Benefits review,OPS-002,,2026-05-04,2026-05-08,2026-05-01,2026-05-06,0,100,PMO,OPS-001,Medium,Not Started,6.2,,2026-05-08,PMO,Emma Clarke,Closes out the delivery timeline
